Timestamp,Product Title,Variant Title,SKU,Price,Event Type,Quantity,Previous Stock,Current Stock,Product URL
2026-07-16 19:10:41,Eshvika Plain Bracelet,Default Title,AMS-103-1337,3300.0,Sale,1,5,4,https://www.theamethyststore.com/products/eshvika-plain-bracelet?variant=gid://shopify/ProductVariant/49390397325539
2026-07-16 19:10:41,Yuvanshri Hasli Necklace,Default Title,AMS-102-16580,4300.0,Sold Out,1,1,0,https://www.theamethyststore.com/products/hasli-necklace-32?variant=gid://shopify/ProductVariant/49389194248419
2026-07-17 04:07:29,Pearl Studs,Default Title,AMS-106-2105-MS,4048.0,Sale,1,6,5,https://www.theamethyststore.com/products/pearl-studs?variant=gid://shopify/ProductVariant/42018690695395
2026-07-17 05:07:54,Nithrasha Avikam Pair Bangles,"2.4""","AMS-107-2296-2.4""",29000.0,Restock,1,0,1,https://www.theamethyststore.com/products/nithrasha-avikam-pair-bangles?variant=gid://shopify/ProductVariant/48971126997219
2026-07-17 05:07:54,Sparkling Victorian Pendant,Default Title,AMS-104-4677,9900.0,New Arrival,3,0,3,https://www.theamethyststore.com/products/sparkling-victorian-pendant?variant=gid://shopify/ProductVariant/49420361203939
2026-07-17 05:22:55,Lisiya Diamond Design Necklace Set,Default Title,AMS-102-6364,54000.0,Restock,1,1,2,https://www.theamethyststore.com/products/lisiya-diamond-design-necklace-set?variant=gid://shopify/ProductVariant/45226393895139
2026-07-17 05:22:55,Valentina Avikam Long Necklace Set,Default Title,AMS-102-8988,175500.0,New Arrival,1,0,1,https://www.theamethyststore.com/products/valentina-avikam-long-necklace-set?variant=gid://shopify/ProductVariant/46239469633763
2026-07-17 05:22:55,Riyana Bracelet,Default Title,AMS-103-0886,27200.0,Restock,1,1,2,https://www.theamethyststore.com/products/riyana-bracelet?variant=gid://shopify/ProductVariant/47142294814947
2026-07-17 05:22:55,Dipthika Bracelet,Default Title,AMS-103-1001,23800.0,New Arrival,1,0,1,https://www.theamethyststore.com/products/dipthika-bracelet?variant=gid://shopify/ProductVariant/47569609523427
2026-07-17 05:22:55,Lekisha Bracelet,Default Title,AMS-103-1007,24800.0,Restock,1,1,2,https://www.theamethyststore.com/products/lekisha-bracelet?variant=gid://shopify/ProductVariant/47569671422179
2026-07-17 05:22:55,Ishaani Bracelet,Default Title,AMS-103-1008,18700.0,New Arrival,1,0,1,https://www.theamethyststore.com/products/ishaani-bracelet?variant=gid://shopify/ProductVariant/47569688264931
2026-07-17 05:22:55,Fabulous Avikam Short Necklace Set,Default Title,AMS-102-16206,18128.0,Restock,1,1,2,https://www.theamethyststore.com/products/fabulous-avikam-short-necklace-set-4?variant=gid://shopify/ProductVariant/49334671081699
2026-07-17 05:22:55,Unique Design Victorian Pendant,Default Title,AMS-104-4686,10200.0,New Arrival,1,0,1,https://www.theamethyststore.com/products/unique-design-victorian-pendant?variant=gid://shopify/ProductVariant/49420395839715
2026-07-17 05:22:55,God Vinayaga Diamond Design Pendant,Default Title,AMS-104-4687,8000.0,New Arrival,1,0,1,https://www.theamethyststore.com/products/god-vinayaga-diamond-design-pendant?variant=gid://shopify/ProductVariant/49420413763811
